product_id,カテゴリー名,サブカテゴリー名
"1212220017S120",スカート ,ベルト 
"1212220017M120",スカート ,ベルト 
"1212220017PS120",スカート ,ベルト 
"1212220017S130",スカート ,ベルト 
"1212220017M130",スカート ,ベルト 
"1212220017PS130",スカート ,ベルト 
"1662230052",パンツ ,
"1662230052M010",パンツ ,
"1662230052M031",パンツ ,
"1662250050",ジャケット ,
"1662250050S040",ジャケット ,
"1662250050M040",ジャケット ,
"1662250050S120",ジャケット ,
"1662250050M120",ジャケット ,
"1662291903",,アクセサリー 
"1662291903FR160",,アクセサリー 
"1662291903FR170",,アクセサリー 
"1662210056",,
"1662210056M030",,
"1662210056M110",,
"1662210900",ブラウス ,
"1662210900M081",ブラウス ,
"1662210900M151",ブラウス ,
"1212240019",ニット ワンピース ,
"1212240019S022",ニット ワンピース ,
"1212240019M022",ニット ワンピース ,
"1212240019S032",ニット ワンピース ,
"1212240019M032",ニット ワンピース ,
"1212240019S040",ニット ワンピース ,
"1212240019M040",ニット ワンピース ,
"1212220022",スカート ,
"1212220022S010",スカート ,
"1212220022M010",スカート ,
"1212220022S090",スカート ,
"1212220022M090",スカート ,
"1212220022S130",スカート ,
"1212220022M130",スカート ,
"1212247001",ニット ワンピース ,
"1212247001S020",ニット ワンピース ,
"1212247001M020",ニット ワンピース ,
"1212247001S150",ニット ワンピース ,
"1212247001M150",ニット ワンピース ,
"1212270021",ニット ,
"1212270021S010",ニット ,
"1212270021M010",ニット ,
"1212270021S020",ニット ,
"1212270021M020",ニット ,
"1212270021S080",ニット ,
"1212270021M080",ニット ,
"1212274003",ニット ,
"1212274003FR010",ニット ,
"1212274003FR031",ニット ,
"1212274003FR050",ニット ,
"1212274003FR110",ニット ,
"0172220143",,
"0172220143S012",,
"0172220143M012",,
"0172220143PS012",,
"0172220143S042",,
"0172220143M042",,
"0172220143PS042",,
"0172293011",,
"0172293011FR040",,
"0172293011FR080",,
"0172293011FR110",,
"1662281950",バッグ ,
"1662281950-050",バッグ ,
